Simualtion is 
MK Round1:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round74:	 Attack:high,	 Defense:low	......... Hit!
MK Round75:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round76:	 Attack:X-low,	 Defense:low	......... Hit!
MK Round77:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round78:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round79:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round80:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round81:	 Attack:high,	 Defense:low	......... Hit!
MK Round82:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round83:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round84:	 Attack:low,	 Defense:medium	......... Hit!
MK Round85:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round86:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round87:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round88:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round89:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round90:	 Attack:low,	 Defense:medium	......... Hit!
MK Round91:	 Attack:high,	 Defense:X-low	......... Hit!
MK Round92:	 Attack:medium,	 Defense:medium	......... Blocked
MK Round93:	 Attack:X-low,	 Defense:X-low	......... Blocked
MK Round94:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round95:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round96:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round97:	 Attack:low,	 Defense:X-low	......... Hit!
MK Round98:	 Attack:X-low,	 Defense:medium	......... Hit!
MK Round99:	 Attack:medium,	 Defense:X-low	......... Hit!
MK Round100:	 Attack:X-low,	 Defense:X-low	......... Blocked


Summary of Kombat
Total Hits:67	 Total Blocks:33
Attacker proportions:	 X-low 39%, Low 25%, Medium 21%, High 15%
Defender proportions:	 X-low 51%, Low 15%, Medium 34%, High 0%
